Acacia Boat, acacia_boat
Acacia Button, acacia_button
Acacia Chest Boat, acacia_chest_boat
Acacia Door, acacia_door
Acacia Fence, acacia_fence
Acacia Fence Gate, acacia_fence_gate
Acacia Hanging Sign, acacia_hanging_sign
Acacia Leaves, acacia_leaves
Acacia Log, acacia_log
Acacia Planks, acacia_planks
Acacia Pressure Plate, acacia_pressure_plate
Acacia Sapling, acacia_sapling
Acacia Shelf, acacia_shelf
Acacia Sign, acacia_sign
Acacia Slab, acacia_slab
Acacia Stairs, acacia_stairs
Acacia Trapdoor, acacia_trapdoor
Acacia Wood, acacia_wood
Activator Rail, activator_rail
Air, air
Allay Spawn Egg, allay_spawn_egg
Allium, allium
Amethyst Block, amethyst_block
Amethyst Cluster, amethyst_cluster
Amethyst Shard, amethyst_shard
Ancient Debris, ancient_debris
Andesite, andesite
Andesite Slab, andesite_slab
Andesite Stairs, andesite_stairs
Andesite Wall, andesite_wall
Angler Pottery Sherd, angler_pottery_sherd
Anvil, anvil
Apple, apple
Archer Pottery Sherd, archer_pottery_sherd
Armadillo Scute, armadillo_scute
Armadillo Spawn Egg, armadillo_spawn_egg
Armor Stand, armor_stand
Arms Up Pottery Sherd, arms_up_pottery_sherd
Arrow, arrow
Axolotl Bucket, axolotl_bucket
Axolotl Spawn Egg, axolotl_spawn_egg
Azalea, azalea
Azalea Leaves, azalea_leaves
Azure Bluet, azure_bluet
Baked Potato, baked_potato
Bamboo, bamboo
Bamboo Block, bamboo_block
Bamboo Button, bamboo_button
Bamboo Chest Raft, bamboo_chest_raft
Bamboo Door, bamboo_door
Bamboo Fence, bamboo_fence
Bamboo Fence Gate, bamboo_fence_gate
Bamboo Hanging Sign, bamboo_hanging_sign
Bamboo Mosaic, bamboo_mosaic
Bamboo Mosaic Slab, bamboo_mosaic_slab
Bamboo Mosaic Stairs, bamboo_mosaic_stairs
Bamboo Planks, bamboo_planks
Bamboo Pressure Plate, bamboo_pressure_plate
Bamboo Raft, bamboo_raft
Bamboo Shelf, bamboo_shelf
Bamboo Sign, bamboo_sign
Bamboo Slab, bamboo_slab
Bamboo Stairs, bamboo_stairs
Bamboo Trapdoor, bamboo_trapdoor
Barrel, barrel
Barrier, barrier
Basalt, basalt
Bat Spawn Egg, bat_spawn_egg
Beacon, beacon
Bedrock, bedrock
Bee Nest, bee_nest
Bee Spawn Egg, bee_spawn_egg
Beef, beef
Beehive, beehive
Beetroot, beetroot
Beetroot Seeds, beetroot_seeds
Beetroot Soup, beetroot_soup
Bell, bell
Big Dripleaf, big_dripleaf
Birch Boat, birch_boat
Birch Button, birch_button
Birch Chest Boat, birch_chest_boat
Birch Door, birch_door
Birch Fence, birch_fence
Birch Fence Gate, birch_fence_gate
Birch Hanging Sign, birch_hanging_sign
Birch Leaves, birch_leaves
Birch Log, birch_log
Birch Planks, birch_planks
Birch Pressure Plate, birch_pressure_plate
Birch Sapling, birch_sapling
Birch Shelf, birch_shelf
Birch Sign, birch_sign
Birch Slab, birch_slab
Birch Stairs, birch_stairs
